"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 12, 2004","183.68","183.27","184.70","182.85","134.40M","0.22%"
"Jul 09, 2004","183.27","180.77","183.33","179.94","131.97M","1.38%"
"Jul 08, 2004","180.77","182.97","184.01","180.62","152.90M","-1.20%"
"Jul 07, 2004","182.97","182.38","183.19","180.46","177.17M","0.32%"
"Jul 06, 2004","182.38","185.55","186.49","181.68","209.01M","-1.71%"
"Jul 05, 2004","185.55","184.16","187.08","182.59","244.63M","0.75%"
"Jul 02, 2004","184.16","182.90","184.90","181.52","275.03M","0.69%"
"Jul 01, 2004","182.90","179.68","183.19","179.25","233.10M","1.79%"
"Jun 30, 2004","179.68","177.36","179.68","176.78","140.88M","1.31%"
"Jun 29, 2004","177.36","177.10","178.19","174.80","175.74M","0.15%"
"Jun 28, 2004","177.10","173.55","177.13","172.93","190.55M","2.05%"
"Jun 25, 2004","173.55","168.89","173.95","168.89","174.94M","2.76%"
"Jun 24, 2004","168.89","168.20","171.41","167.18","212.77M","0.41%"
"Jun 23, 2004","168.20","167.53","168.38","166.30","103.59M","0.40%"
"Jun 22, 2004","167.53","167.85","170.37","166.64","114.01M","-0.19%"
"Jun 21, 2004","167.85","169.64","170.00","167.50","72.62M","-1.06%"
"Jun 18, 2004","169.64","169.01","170.87","168.49","136.14M","0.37%"
"Jun 17, 2004","169.01","170.99","171.59","168.27","84.06M","-1.16%"
"Jun 16, 2004","170.99","172.30","174.41","170.34","126.57M","-0.76%"
"Jun 15, 2004","172.30","170.80","172.36","169.55","139.37M","0.88%"
"Jun 14, 2004","170.80","176.64","176.64","170.00","146.11M","-3.31%"
"Jun 11, 2004","176.64","177.86","178.68","175.27","125.07M","-0.69%"
"Jun 10, 2004","177.86","176.16","178.60","176.03","156.02M","0.97%"
"Jun 09, 2004","176.16","176.04","177.91","174.92","189.52M","0.07%"
"Jun 08, 2004","176.04","180.20","180.49","175.93","226.74M","-2.31%"
"Jun 07, 2004","180.20","177.08","180.20","176.10","291.97M","1.76%"
"Jun 04, 2004","177.08","170.44","177.08","170.44","351.10M","3.90%"
"Jun 03, 2004","170.44","168.68","170.56","167.53","-","1.04%"
"Jun 02, 2004","168.68","167.67","169.26","166.72","131.09M","0.60%"
"Jun 01, 2004","167.67","170.81","173.40","167.08","194.42M","-1.84%"
"May 31, 2004","170.81","173.28","173.28","169.96","153.86M","-1.43%"
"May 28, 2004","173.28","171.64","174.61","171.64","258.50M","0.96%"
"May 27, 2004","171.64","172.35","172.53","169.26","218.56M","-0.41%"
"May 26, 2004","172.35","167.91","172.71","167.91","296.73M","2.64%"
"May 25, 2004","167.91","171.67","171.67","167.42","286.06M","-2.19%"
"May 24, 2004","171.67","166.29","171.67","166.29","300.41M","3.24%"
"May 21, 2004","166.29","163.34","166.48","162.70","186.43M","1.81%"
"May 20, 2004","163.34","161.24","163.89","161.24","160.93M","1.30%"
"May 18, 2004","161.24","159.22","162.35","158.04","167.82M","1.27%"
"May 17, 2004","159.22","165.31","167.75","158.69","186.35M","-3.68%"
"May 14, 2004","165.31","166.46","169.68","163.81","206.25M","-0.69%"
"May 13, 2004","166.46","171.45","171.45","166.24","154.58M","-2.91%"
"May 12, 2004","171.45","171.03","174.13","170.78","194.02M","0.25%"
"May 11, 2004","171.03","168.08","172.28","165.73","268.75M","1.76%"
"May 10, 2004","168.08","170.02","170.02","167.00","182.28M","-1.14%"
"May 07, 2004","170.02","176.24","176.24","168.99","225.54M","-3.53%"
"May 06, 2004","176.24","182.72","183.71","175.35","354.12M","-3.55%"
