"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 16","734.81","717.27","735.07","682.30","14.56B","2.45%"
"Dec 15","717.27","752.33","777.67","691.91","15.13B","-4.66%"
"Nov 15","752.33","836.54","843.54","748.24","13.43B","-5.26%"
"Oct 15","794.09","746.23","810.67","738.26","13.61B","7.01%"
"Sep 15","742.05","748.44","761.90","710.50","9.16B","-1.34%"
"Aug 15","752.10","798.80","799.09","697.97","10.10B","-5.88%"
"Jul 15","799.10","824.45","841.93","772.30","11.27B","-2.84%"
"Jun 15","822.50","827.69","845.29","752.68","13.78B","-0.88%"
"May 15","829.81","838.81","886.52","817.54","12.10B","-1.15%"
"Apr 15","839.47","810.90","867.55","806.50","14.13B","3.84%"
"Mar 15","808.46","844.05","846.74","766.42","15.42B","-3.92%"
"Feb 15","841.48","891.45","900.48","829.75","14.01B","-5.39%"
"Jan 15","889.46","854.48","918.06","849.41","13.87B","3.76%"
"Dec 14","857.21","862.14","870.10","788.44","14.42B","-0.52%"
"Nov 14","861.69","805.56","870.48","771.33","15.40B","6.94%"
"Oct 14","805.80","750.01","811.47","726.12","13.05B","7.53%"
"Sep 14","749.38","804.55","826.28","738.47","12.08B","-6.69%"
"Aug 14","803.13","823.71","829.88","765.40","11.76B","-2.24%"
"Jul 14","821.57","785.36","843.56","760.56","10.55B","4.67%"
"Jun 14","784.89","796.48","819.15","774.44","11.47B","-1.01%"
"May 14","792.90","744.81","799.99","744.16","11.78B","7.33%"
"Apr 14","738.72","698.49","744.42","695.51","13.32B","5.93%"
"Mar 14","697.36","616.55","704.65","611.66","11.73B","11.48%"
"Feb 14","625.53","621.66","659.16","608.49","11.22B","1.12%"
"Jan 14","618.58","673.67","689.59","607.54","14.80B","-8.77%"
"Dec 13","678.02","758.97","761.97","611.50","13.88B","-10.49%"
"Nov 13","757.48","779.04","779.04","708.36","11.58B","-2.41%"
"Oct 13","776.20","750.18","804.63","738.10","9.31B","4.21%"
"Sep 13","744.87","674.46","805.70","662.13","12.57B","12.19%"
"Aug 13","663.94","742.54","761.34","638.88","8.78B","-9.52%"
"Jul 13","733.77","764.24","776.63","704.09","12.70B","-3.82%"
"Jun 13","762.95","804.63","822.18","700.94","12.81B","-11.28%"
"May 13","859.90","862.55","933.98","848.67","12.48B","-0.07%"
"Apr 13","860.46","858.12","865.00","820.33","9.88B","0.17%"
"Mar 13","858.99","793.20","859.99","786.49","9.62B","8.28%"
"Feb 13","793.34","790.50","812.20","756.34","11.12B","0.70%"
"Jan 13","787.83","788.57","867.87","786.48","15.99B","0.74%"
"Dec 12","782.08","731.26","790.77","731.26","11.32B","7.05%"
"Nov 12","730.59","725.74","733.14","698.17","11.66B","0.73%"
