"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 14, 2010","533.19","509.59","533.19","509.59","2.97B","4.42%"
"Feb 07, 2010","510.64","516.15","520.24","494.32","3.34B","-0.76%"
"Jan 31, 2010","514.55","547.31","557.35","510.89","4.40B","-5.85%"
"Jan 24, 2010","546.51","535.95","551.01","531.49","3.82B","1.21%"
"Jan 17, 2010","539.97","540.04","559.11","534.77","3.59B","-0.02%"
"Jan 10, 2010","540.06","550.87","553.47","533.45","4.03B","-1.45%"
"Jan 03, 2010","547.98","528.19","557.12","524.10","4.77B","3.73%"
"Dec 27, 2009","528.25","518.84","531.55","512.58","2.42B","2.25%"
"Dec 20, 2009","516.61","502.51","517.23","501.49","2.68B","3.04%"
"Dec 13, 2009","501.38","494.44","509.72","493.18","3.22B","1.52%"
"Dec 06, 2009","493.86","497.49","508.45","487.51","3.58B","-1.43%"
"Nov 29, 2009","501.02","452.09","502.38","450.46","3.23B","10.48%"
"Nov 22, 2009","453.50","456.50","460.62","446.79","1.71B","0.26%"
"Nov 15, 2009","452.31","490.08","491.49","447.98","3.06B","-6.63%"
"Nov 08, 2009","484.42","475.32","491.49","474.26","3.46B","3.13%"
"Nov 01, 2009","469.70","467.20","478.10","458.16","4.16B","-0.46%"
"Oct 25, 2009","471.85","514.32","515.88","468.58","2.83B","-8.17%"
"Oct 18, 2009","513.81","498.84","518.63","497.89","3.29B","3.19%"
"Oct 11, 2009","497.91","505.18","514.87","497.05","4.28B","-0.85%"
"Oct 04, 2009","502.18","471.21","504.21","466.80","3.49B","7.17%"
"Sep 27, 2009","468.57","474.81","489.90","461.69","2.91B","-1.61%"
"Sep 20, 2009","476.25","472.70","481.87","471.50","1.68B","0.98%"
"Sep 13, 2009","471.61","461.47","474.12","456.92","2.62B","1.24%"
"Sep 06, 2009","465.83","456.69","465.83","441.30","3.48B","3.15%"
"Aug 30, 2009","451.61","471.70","474.76","450.87","3.17B","-5.04%"
"Aug 23, 2009","475.60","477.55","483.35","467.37","4.53B","0.83%"
"Aug 16, 2009","471.70","433.29","472.19","431.03","3.36B","6.47%"
"Aug 09, 2009","443.03","449.56","454.87","425.25","3.58B","-1.04%"
"Aug 02, 2009","447.68","430.18","455.37","425.92","4.59B","4.99%"
"Jul 26, 2009","426.41","398.86","436.28","395.20","4.19B","8.24%"
"Jul 19, 2009","393.95","380.51","397.90","377.86","3.08B","4.42%"
"Jul 12, 2009","377.27","364.62","383.78","362.75","2.86B","2.57%"
"Jul 05, 2009","367.80","365.84","376.32","362.62","2.90B","-0.05%"
"Jun 28, 2009","367.98","366.01","377.19","366.01","4.06B","0.11%"
"Jun 21, 2009","367.56","358.02","371.88","346.39","4.23B","2.61%"
"Jun 14, 2009","358.20","347.29","360.00","343.28","3.29B","2.88%"
"Jun 07, 2009","348.17","345.17","350.43","332.65","3.24B","0.19%"
"May 31, 2009","347.50","358.05","362.14","340.45","4.24B","-0.72%"
"May 24, 2009","350.03","351.47","357.20","343.81","4.86B","-0.03%"
"May 17, 2009","350.14","329.47","353.84","327.25","3.58B","4.57%"
"May 10, 2009","334.85","330.24","338.18","320.33","4.22B","2.07%"
"May 03, 2009","328.06","319.96","348.36","317.41","5.46B","3.65%"
"Apr 26, 2009","316.52","293.44","318.19","289.71","3.61B","6.66%"
"Apr 19, 2009","296.76","294.03","297.93","280.72","2.92B","0.78%"
"Apr 12, 2009","294.46","287.77","298.97","277.49","3.59B","2.11%"
"Apr 05, 2009","288.38","270.24","288.94","259.79","3.33B","8.29%"
"Mar 29, 2009","266.31","250.67","271.81","248.46","3.00B","3.63%"
"Mar 22, 2009","256.97","244.35","257.54","244.34","3.40B","6.90%"
"Mar 15, 2009","240.39","237.50","241.15","232.43","2.47B","1.80%"
"Mar 08, 2009","236.15","232.73","240.41","225.83","2.66B","1.70%"
"Mar 01, 2009","232.20","236.79","240.20","227.21","1.86B","-3.36%"
"Feb 22, 2009","240.27","240.15","245.54","234.37","2.15B","1.90%"
"Feb 15, 2009","235.79","250.12","250.84","231.60","2.36B","-6.43%"
"Feb 08, 2009","252.00","267.99","271.32","248.99","2.25B","-5.74%"
"Feb 01, 2009","267.35","255.61","267.84","252.35","1.86B","3.09%"
"Jan 25, 2009","259.34","248.74","267.72","248.49","2.69B","4.65%"
"Jan 18, 2009","247.82","258.65","258.83","240.35","2.47B","-3.31%"
"Jan 11, 2009","256.31","262.16","264.01","248.34","2.40B","-3.17%"
"Jan 04, 2009","264.70","275.89","287.33","261.21","3.06B","-1.98%"
"Dec 28, 2008","270.06","264.99","273.32","262.21","1.34B","1.91%"
"Dec 21, 2008","264.99","262.43","265.69","259.23","706.66M","1.12%"
"Dec 14, 2008","262.05","254.11","270.34","252.77","2.75B","5.08%"
"Dec 07, 2008","249.37","240.36","249.99","240.36","462.42M","3.75%"
"Nov 30, 2008","240.35","256.35","256.35","230.79","2.44B","-6.53%"
"Nov 23, 2008","257.15","226.36","258.47","226.03","3.50B","17.07%"
"Nov 16, 2008","219.66","253.02","253.87","209.12","2.97B","-13.60%"
"Nov 09, 2008","254.25","271.21","276.67","245.01","2.30B","-4.59%"
"Nov 02, 2008","266.48","281.32","294.00","265.06","2.75B","-4.26%"
"Oct 26, 2008","278.33","236.30","278.59","234.45","2.44B","15.12%"
"Oct 19, 2008","241.77","264.08","279.79","235.72","3.40B","-6.54%"
"Oct 12, 2008","258.70","299.93","308.76","258.33","2.93B","-9.22%"
"Oct 05, 2008","284.96","330.68","330.68","280.80","3.27B","-17.53%"
"Sep 28, 2008","345.53","362.46","365.41","335.92","469.76M","-5.48%"
"Sep 21, 2008","365.57","364.47","366.64","347.03","2.09B","0.51%"
"Sep 14, 2008","363.70","361.03","368.64","309.71","3.07B","-1.79%"
"Sep 07, 2008","370.34","403.08","408.82","367.80","1.91B","-5.32%"
"Aug 31, 2008","391.16","393.81","404.43","384.92","1.34B","-1.83%"
"Aug 24, 2008","398.44","410.46","412.65","394.07","1.16B","-2.57%"
"Aug 17, 2008","408.94","421.59","423.62","391.98","1.37B","-3.08%"
"Aug 10, 2008","421.94","413.49","424.08","410.07","1.50B","3.04%"
"Aug 03, 2008","409.50","428.14","436.02","407.71","2.07B","-4.73%"
"Jul 27, 2008","429.85","375.88","432.86","370.79","2.44B","14.45%"
"Jul 20, 2008","375.57","381.78","390.64","371.61","1.72B","-1.03%"
"Jul 13, 2008","379.47","352.02","387.83","349.80","1.87B","8.40%"
"Jul 06, 2008","350.06","345.75","360.39","341.49","1.69B","2.06%"
"Jun 29, 2008","343.00","359.01","362.83","326.46","1.79B","-4.27%"
"Jun 22, 2008","358.29","379.22","380.65","354.15","1.17B","-5.50%"
"Jun 15, 2008","379.13","386.31","390.42","377.11","1.19B","-1.00%"
"Jun 08, 2008","382.96","390.74","396.46","379.65","1.28B","-3.41%"
"Jun 01, 2008","396.46","399.19","408.30","394.78","1.39B","-0.81%"
"May 25, 2008","399.70","397.10","403.26","389.47","1.40B","0.02%"
"May 18, 2008","399.61","424.02","426.04","397.45","926.42M","-5.97%"
"May 11, 2008","424.99","420.30","429.55","414.07","1.10B","1.10%"
"May 04, 2008","420.35","432.52","437.36","414.46","1.22B","-3.20%"
"Apr 27, 2008","434.26","438.22","439.96","423.97","1.08B","-0.39%"
"Apr 20, 2008","435.94","429.33","438.97","423.05","1.32B","2.23%"
"Apr 13, 2008","426.41","412.47","426.71","410.84","1.59B","1.57%"
"Apr 06, 2008","419.80","419.69","431.73","413.63","1.91B","1.49%"
"Mar 30, 2008","413.63","391.78","418.68","381.74","2.03B","4.71%"
"Mar 23, 2008","395.01","398.29","416.42","393.82","1.16B","-0.55%"
"Mar 16, 2008","397.19","395.88","425.86","385.27","1.51B","-6.73%"
"Mar 09, 2008","425.86","411.61","446.28","409.88","1.99B","2.53%"
"Mar 02, 2008","415.37","436.59","447.77","408.87","1.39B","-7.24%"
"Feb 24, 2008","447.77","462.35","467.56","444.96","1.36B","-1.79%"
"Feb 17, 2008","455.92","446.34","467.97","443.05","1.74B","2.90%"
"Feb 10, 2008","443.05","413.24","459.32","409.55","2.14B","5.59%"
"Feb 03, 2008","419.58","452.33","459.43","412.18","1.70B","-5.61%"
"Jan 27, 2008","444.52","441.45","454.97","424.02","1.44B","-2.30%"
"Jan 20, 2008","454.97","473.42","486.57","420.81","2.33B","-6.49%"
"Jan 13, 2008","486.57","514.86","519.21","477.11","1.48B","-6.29%"
"Jan 06, 2008","519.21","522.62","533.19","516.85","1.14B","-1.16%"
"Dec 30, 2007","525.30","558.33","559.81","523.88","697.17M","-5.69%"
"Dec 23, 2007","556.98","548.23","560.66","538.47","724.06M","3.44%"
"Dec 16, 2007","538.47","543.75","549.12","533.72","450.30M","-1.94%"
"Dec 09, 2007","549.12","561.90","570.88","546.46","1.15B","-2.80%"
"Dec 02, 2007","564.91","541.16","568.17","536.73","1.23B","4.20%"
"Nov 25, 2007","542.14","529.95","545.64","509.40","1.12B","3.60%"
"Nov 18, 2007","523.31","545.79","549.11","515.28","1.12B","-3.63%"
"Nov 11, 2007","543.04","533.09","560.65","532.80","1.41B","1.15%"
"Nov 04, 2007","536.89","564.85","574.85","534.59","1.80B","-5.57%"
"Oct 28, 2007","568.55","568.61","587.47","564.47","1.78B","0.72%"
"Oct 21, 2007","564.47","526.55","566.49","520.94","1.82B","1.73%"
"Oct 14, 2007","554.87","571.23","588.64","551.30","2.20B","-4.42%"
"Oct 07, 2007","580.53","569.82","581.92","559.65","1.57B","2.22%"
"Sep 30, 2007","567.93","540.04","567.93","531.99","2.15B","5.09%"
"Sep 23, 2007","540.44","540.39","551.29","525.52","2.22B","0.30%"
"Sep 16, 2007","538.82","501.75","540.28","499.76","2.35B","6.44%"
"Sep 09, 2007","506.21","490.50","506.21","484.67","1.38B","3.20%"
"Sep 02, 2007","490.50","501.99","505.71","486.81","1.53B","-2.29%"
"Aug 26, 2007","501.99","468.24","502.01","468.24","1.29B","7.21%"
"Aug 19, 2007","468.24","465.77","480.65","450.28","1.70B","0.53%"
"Aug 12, 2007","465.77","491.86","502.73","432.91","2.10B","-5.30%"
"Aug 05, 2007","491.86","507.16","523.90","485.73","1.70B","-3.02%"
"Jul 29, 2007","507.16","515.62","529.71","503.83","2.02B","-1.64%"
"Jul 22, 2007","515.62","529.36","563.10","506.45","2.82B","-2.60%"
"Jul 15, 2007","529.36","520.87","537.37","507.84","1.83B","1.63%"
"Jul 08, 2007","520.87","498.95","530.62","493.69","2.30B","4.39%"
"Jul 01, 2007","498.95","470.94","501.77","469.17","2.02B","5.95%"
"Jun 24, 2007","470.94","457.05","470.94","450.29","1.13B","3.04%"
"Jun 17, 2007","457.05","459.72","465.54","455.44","963.56M","-0.58%"
"Jun 10, 2007","459.72","443.32","460.15","438.04","1.14B","3.70%"
"Jun 03, 2007","443.32","464.90","467.37","435.16","1.24B","-4.64%"
"May 27, 2007","464.90","461.94","471.12","461.37","1.17B","0.64%"
"May 20, 2007","461.94","460.73","467.30","455.89","1.20B","0.26%"
"May 13, 2007","460.73","448.21","462.35","447.82","1.34B","2.79%"
"May 06, 2007","448.21","448.18","456.24","442.69","1.45B","0.01%"
"Apr 29, 2007","448.18","431.16","468.61","431.16","2.02B","-4.36%"
"Apr 22, 2007","468.61","473.56","485.70","464.37","1.72B","-1.05%"
"Apr 15, 2007","473.56","460.44","475.57","448.43","2.28B","2.85%"
"Apr 08, 2007","460.44","458.45","463.26","450.22","1.81B","0.43%"
"Apr 01, 2007","458.45","436.61","460.15","432.41","2.18B","5.00%"
"Mar 25, 2007","436.61","434.09","439.10","425.82","1.69B","0.58%"
"Mar 18, 2007","434.09","418.20","436.28","415.71","1.78B","3.80%"
"Mar 11, 2007","418.20","420.56","426.33","401.83","1.65B","-0.56%"
"Mar 04, 2007","420.56","405.50","420.56","388.24","1.63B","3.71%"
"Feb 25, 2007","405.50","435.92","437.60","394.25","2.25B","-6.98%"
"Feb 18, 2007","435.92","436.36","446.16","424.86","1.80B","-0.10%"
"Feb 11, 2007","436.36","421.85","442.36","417.85","2.08B","3.44%"
"Feb 04, 2007","421.85","431.13","431.46","410.92","1.70B","-2.15%"
"Jan 28, 2007","431.13","418.46","433.19","406.88","1.96B","3.03%"
"Jan 21, 2007","418.46","402.01","425.17","402.01","1.91B","4.09%"
"Jan 14, 2007","402.01","381.38","408.12","380.77","1.64B","5.41%"
"Jan 07, 2007","381.38","384.35","384.35","363.44","1.45B","-0.77%"
"Dec 31, 2006","384.35","391.17","392.98","381.84","414.67M","-1.74%"
"Dec 24, 2006","391.17","391.80","394.69","382.84","1.04B","-0.16%"
"Dec 17, 2006","391.80","402.05","403.80","387.58","865.74M","-2.55%"
"Dec 10, 2006","402.05","393.20","402.36","387.17","1.12B","2.25%"
"Dec 03, 2006","393.20","381.97","398.58","374.13","1.41B","2.94%"
"Nov 26, 2006","381.97","375.82","385.75","370.34","1.01B","1.64%"
"Nov 19, 2006","375.82","384.33","386.68","374.22","1.07B","-2.21%"
"Nov 12, 2006","384.33","396.27","399.71","383.15","887.87M","-3.01%"
"Nov 05, 2006","396.27","393.07","405.95","391.95","1.23B","0.81%"
"Oct 29, 2006","393.07","406.83","406.83","387.09","1.30B","-3.38%"
